[1] 9040
1:0:d=2016042018:UGRD:planetary boundary layer:anl:
2:93399:d=2016042018:VGRD:planetary boundary layer:anl:
3:188841:d=2016042018:VRATE:planetary boundary layer:anl:
4:282936:d=2016042018:GUST:surface:anl:
17:1921949:d=2016042018:ABSV:20 mb:3 hour fcst:
18:2053057:d=2016042018:O3MR:20 mb:3 hour fcst:
19:2261851:d=2016042018:HGT:30 mb:3 hour fcst:
20:2441786:d=2016042018:TMP:30 mb:3 hour fcst:
21:2510133:d=2016042018:RH:30 mb:3 hour fcst:
22:2589051:d=2016042018:UGRD:30 mb:3 hour fcst:
23:2707774:d=2016042018:VGRD:30 mb:3 hour fcst:
24:2824820:d=2016042018:ABSV:30 mb:3 hour fcst:
25:2964321:d=2016042018:O3MR:30 mb:3 hour fcst:
26:3200726:d=2016042018:HGT:50 mb:3 hour fcst:
27:3416996:d=2016042018:TMP:50 mb:3 hour fcst:
28:3489438:d=2016042018:RH:50 mb:3 hour fcst:
29:3555599:d=2016042018:UGRD:50 mb:3 hour fcst:
30:3694398:d=2016042018:VGRD:50 mb:3 hour fcst:
31:3828063:d=2016042018:ABSV:50 mb:3 hour fcst:
32:3986676:d=2016042018:O3MR:50 mb:3 hour fcst:
33:4227829:d=2016042018:HGT:70 mb:3 hour fcst:
34:4452991:d=2016042018:TMP:70 mb:3 hour fcst:
35:4533570:d=2016042018:RH:70 mb:3 hour fcst:
36:4631866:d=2016042018:UGRD:70 mb:3 hour fcst:
37:4794432:d=2016042018:VGRD:70 mb:3 hour fcst:
38:4946188:d=2016042018:ABSV:70 mb:3 hour fcst:
39:5123860:d=2016042018:O3MR:70 mb:3 hour fcst:
40:5359473:d=2016042018:HGT:100 mb:3 hour fcst:
41:5563726:d=2016042018:TMP:100 mb:3 hour fcst:
42:5648566:d=2016042018:RH:100 mb:3 hour fcst:
43:5765712:d=2016042018:VVEL:100 mb:3 hour fcst:
44:6099829:d=2016042018:UGRD:100 mb:3 hour fcst:
45:6278482:d=2016042018:VGRD:100 mb:3 hour fcst:
46:6446735:d=2016042018:ABSV:100 mb:3 hour fcst:
47:6640918:d=2016042018:CLWMR:100 mb:3 hour fcst:
48:6675155:d=2016042018:O3MR:100 mb:3 hour fcst:
49:6901331:d=2016042018:HGT:150 mb:3 hour fcst:
50:7112012:d=2016042018:TMP:150 mb:3 hour fcst:
51:7200085:d=2016042018:RH:150 mb:3 hour fcst:
52:7342199:d=2016042018:VVEL:150 mb:3 hour fcst:
53:7628525:d=2016042018:UGRD:150 mb:3 hour fcst:
54:7826937:d=2016042018:VGRD:150 mb:3 hour fcst:
55:8020000:d=2016042018:ABSV:150 mb:3 hour fcst:
56:8247355:d=2016042018:CLWMR:150 mb:3 hour fcst:
57:8288371:d=2016042018:O3MR:150 mb:3 hour fcst:
58:8514314:d=2016042018:HGT:200 mb:3 hour fcst:
59:8726831:d=2016042018:TMP:200 mb:3 hour fcst:
60:8820942:d=2016042018:RH:200 mb:3 hour fcst:
61:8997829:d=2016042018:VVEL:200 mb:3 hour fcst:
62:9323264:d=2016042018:UGRD:200 mb:3 hour fcst:
63:9448229:d=2016042018:VGRD:200 mb:3 hour fcst:
64:9571891:d=2016042018:ABSV:200 mb:3 hour fcst:
65:9822487:d=2016042018:CLWMR:200 mb:3 hour fcst:
66:9865009:d=2016042018:O3MR:200 mb:3 hour fcst:
67:10093393:d=2016042018:HGT:250 mb:3 hour fcst:
68:10305408:d=2016042018:TMP:250 mb:3 hour fcst:
69:10403192:d=2016042018:RH:250 mb:3 hour fcst:
70:10602534:d=2016042018:VVEL:250 mb:3 hour fcst:
71:10951009:d=2016042018:UGRD:250 mb:3 hour fcst:
72:11084234:d=2016042018:VGRD:250 mb:3 hour fcst:
73:11215731:d=2016042018:ABSV:250 mb:3 hour fcst:
74:11383854:d=2016042018:CLWMR:250 mb:3 hour fcst:
75:11441964:d=2016042018:O3MR:250 mb:3 hour fcst:
76:11738983:d=2016042018:HGT:300 mb:3 hour fcst:
77:11948469:d=2016042018:TMP:300 mb:3 hour fcst:
78:12045968:d=2016042018:RH:300 mb:3 hour fcst:
79:12260679:d=2016042018:VVEL:300 mb:3 hour fcst:
80:12596042:d=2016042018:UGRD:300 mb:3 hour fcst:
81:12734279:d=2016042018:VGRD:300 mb:3 hour fcst:
82:12875694:d=2016042018:ABSV:300 mb:3 hour fcst:
83:13057072:d=2016042018:CLWMR:300 mb:3 hour fcst:
84:13124536:d=2016042018:O3MR:300 mb:3 hour fcst:
